id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
169300,Limbo Records,https://www.limborecords.co.uk/,Limbo Records,,,website,30/09/2022,False,Music,MUSIC : RECORD COMPANY,,Site of a record company based in Glasgow.,"Glasgow",
169302,Ujazz Records,http://www.ujazz-records.com/,Ujazz Records Ltd,,,website,30/09/2022,False,Music,MUSIC : RECORD COMPANY,,Site of a record company based Edinburgh.,,
169309,Rito Futurito,https://ritofuturito.com/,Rito Futurito,,,website,30/09/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",SC680270,Site of a musician based in Edinburgh.,"Edinburgh",
169333,Alien Communications,https://ra.co/dj/aliencommunications/,Alien Communications,,,website,30/09/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,"Site of a DJ and producer based in Dalkeith, Midlothian.","Midlothian, Dalkeith",
169405,Ewan Macfarlane,https://ewanmacfarlanemusic.com/,Ewan Macfarlane,,,website,03/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a musician and singer-songwriter from Scotland.,,
169468,"Dunts, The",https://www.thedunts.co.uk/,The Dunts,,,website,03/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",SC648270,Site of a band from Glasgow.,,
169470,"Naked Feedback, The [The Naked Feedback Ltd]",https://thenakedfeedback.com/,The Naked Feedback,,,website,03/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",SC699570,Site of a rock band from Glasgow.,,
169472,Premier Soundproofing Ltd,https://premiumsoundsolutions.co.uk/,Premier Soundproofing Ltd,,,website,03/10/2022,False,Music,BUSINESS,SC636684,Site of a sound proofing company based in Glasgow.,"Glasgow",
169477,Sun Kisst,https://www.sunkisst.co.uk/,Sun Kisst,,,website,03/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a Scotish band.,,
169479,EDA Music Ltd,http://www.edamusicuk.co.uk/,EDA Music Ltd,,,website,03/10/2022,False,Music,MUSIC : RECORD COMPANY,SC342711,Site of a record company based in Glasgow.,"Glasgow",
169489,Captain Toms Limited,http://www.captaintommusic.co.uk/,Captain Toms Limited,,,website,03/10/2022,False,Music,MUSIC : STUDIO,SC252167,"Site of a rehearsal, recording and tuition studio located in Aberdeen.","Aberdeen",
169490,Fat Hippy Records,http://www.fathippyrecords.co.uk/,Fat Hippy Records,,,website,03/10/2022,False,Music,MUSIC : RECORD COMPANY,,Site of a record company based in Aberdeen.,"Aberdeen",
169499,Ceilidh Fest Glasgow Ltd,https://www.ceilidhfestglasgow.com/,Ceilidh Fest Glasgow Ltd,,,website,03/10/2022,False,Music,MUSIC : TRADITIONAL/FOLK,SC654647,Site of a traditional music and dance festival staged in Glasgow.,"Glasgow",
169501,Macanta Media Ltd,http://www.macanta.media/,Macanta Media Ltd,,,website,03/10/2022,False,Music,BUSINESS,SC688875,"Site of a film making company based in Scalpay, Western Isles.",,
169512,Owen Vaughn (Owen Vaughn Entertainment Ltd),https://www.owenvaughn.com/,Site of a musician and tribute act based in Glasgow.,,,website,03/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",SC683227,Site of a musician and tribute act based in Glasgow.,"Glasgow",
169513,PD Music Studios Ltd,https://www.pdmusicstudios.co.uk/,PD Music Studios Ltd,,,website,03/10/2022,False,Music,MUSIC : RECORD COMPANY,SC682472,"Site of a music recording studio located in Ayr, South Ayrshire.","Ayr, South Ayrshire",
169514,Scottish Freelancers Ensemble,https://www.sfe.scot/,Scottish Freelancers Ensemble,,,website,03/10/2022,False,Music,MUSIC,SC683571,Site of a community of freelance musicians based in Glasgow supporting each one another to allow them to keep working.,"Glasgow",
169529,Only Good Vibes Music Ltd,https://onlygoodvibesmusic.com/,Only Good Vibes Music Ltd,,,website,04/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",SC682380,"Site of a music company based in Glasgow, DJs, podcasts, music and live performances.","Glasgow, DJs",
169535,Tiderays,https://tiderays.co.uk/,Tiderays,,,website,04/10/2022,False,Music,MUSIC : TRADITIONAL / FOLK,SC629368,"Site of a traditional / folk band based in Dumfries, Dumfries & Galloway.",,
169537,Precise Mastering Ltd,http://www.precisemastering.com/,Precise Mastering Ltd,,,website,04/10/2022,False,Music,MUSIC : STUDIO,SC407785,"Site of a mastering studio located in Hawick, the Scottish Borders.","Hawick",
169540,Song And Dance Factory Ltd,http://www.songanddancefactory.com/,Song And Dance Factory Ltd,,,website,04/10/2022,False,Music,BUSINESS,SC442710,Site of a company based in Glasgow staging children's parties.,,
169565,Neon Productions Limited,http://www.go2neon.com/,Neon Productions Limited,,,website,04/10/2022,False,Music,BUSINESS,SC154972,Site of a media production company based in Glasgow.,"Glasgow",
169569,Ridge Records Limited,https://www.ridge-records.com/,Ridge Records Limited,,,website,04/10/2022,False,Music,MUSIC : RECORD COMPANY,SC269529,Site of a Celtic record label owned by the band Runrig and based in Aberdeen.,"Aberdeen",
169572,Rock Action Recordings  Limited,http://www.rock-action.co.uk/,Rock Action Recordings Limited,,,website,04/10/2022,False,Music,MUSIC : RECORD COMPANY,SC264729,Site of a record company based in Glasgow.,"Glasgow",
169609,AVS Image Designs Ltd,https://www.avsimagedesigns.co.uk/,VS Image Designs Ltd,,,website,05/10/2022,False,Music,BUSINESS,SC660160,Site of a printing and design company based in Falkirk.,"Falkirk",
169616,Chinese Whispers [Chinese Whispers (CRF) Ltd],https://www.chinese-whispers.co.uk/,Chinese Whispers (CRF) Ltd,,,website,05/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",SC691990,Site of a band based in Glasgow.,"Glasgow",
169631,Theo Bleak,https://www.theobleak.com/,Theo Bleak,,,website,05/10/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a musician based in Dundee.,"Dundee",
169635,Brick Lane Studios Scotland [Limited],https://www.bricklanestudiospaisley.co.uk/,Brick Lane Studios Scotland Limited,,,website,05/10/2022,False,Music,MUSIC : STUDIO,SC667633,"Site of a recording studio located in Paisley, Renfrewshire.","Paisley",
