id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
41013,Music Scotland,http://www.musicscotland.com/,Music Scotland,,,website,16/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a recorded music retailer located in Oban, Argyll & Bute, specialising in Scottish, Celtic, international traditional music.","Oban",
41014,Leith Folk Club,http://www.leithfolkclub.com/,Leith Folk Club,,,website,16/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a traditional music club based in Leith, Edinburgh, and focusing on Scottish traditional music.","Edinburgh, Leith",
41015,Edinburgh Folk Club,http://www.efc1973.com/,Edinburgh Folk Club,,,website,16/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a traditional music club based in Edinburgh, Scotland, and focusing on live music from Scottish, UK and international traditional musicians.","Edinburgh",
41115,Celtic Connections,http://www.celticconnections.com/,Celtic Connections,,,website,17/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an annual Scottish national and internation festival of Celtic music based in Glasgow, Scotland.","Glasgow",
41117,Innerleithen Music Festival,http://innerleithenmusicfestival.org/,Innerleithen Music Festival,,,website,17/05/2016,True,Music,FESTIVAL,,"Site of an annual Scottish traditional music festival based in Innerleithen, Scottish Borders.","Innerleithen",
41118,Kirriemuir Festival of Music and Song,http://www.kirriefestival.org/,Kirriemuir Festival of Music and Song,,,website,17/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an annual Scottish tradtional music festival based in Kirriemuir, Angus Scotland","Kirriemuir, Angus",
41119,Living Tradition,http://www.livingtradition.co.uk/,The Living Tradition,Q104868843,https://www.wikidata.org/wiki/Q104868843,website,17/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a magazine based in Kilmarnock, Ayrshire, Scotland, focusing mainly on traditonal music in the United Kingdom and Ireland, but also international tradtional music.","the United Kingdom, Ayrshire, Kilmarnock, Ireland",
41196,Springthyme Records,http://www.springthyme.co.uk/,Springthyme Records / Springthyme Music,,,website,18/05/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,Site of a music production and sales company specialising in traditional Scottish music.,,
41241,Scottish Fiddle Orchestra,http://sfo.org.uk/,Scottish Fiddle Orchestra,,,website,19/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,Site of a Scottish traditional music orchestra based around fiddle (violin) music.,,
41243,Edinburgh's Festival of Ireland,http://www.edinburghsfestivalofireland.org/,Edinburgh's Festival of Ireland,,,website,19/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,Site of an annual St Patrick's day festival celebrating links between Edinburgh's Irish community and Ireland through traditional music and dance events.,"Edinburgh",
41248,Girvan Folk Festival,http://www.girvanfolkfestival.co.uk/,Girvan Folk Festival,,,website,19/05/2016,False,Music,FESTIVAL,,"Site of an annual tradtional festival of music, storytelling and verse located in Girvan South Ayrshire.",,
41401,Moniavie,http://moniaive.org.uk/,Moniaive Action Project,,,website,20/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of the community of Moniaive, Dumfries and Galloway, Scotland, porviding information for visitors and locals on amenities and activities in the village, including the annual tradtional music festival.","Galloway",
41551,Orkney Folk Festival,http://www.orkneyfolkfestival.com/,Orkney Folk Festival,,,website,24/05/2016,True,Music,FESTIVAL,,Site of an annual Scottish traditional music festival held in Orkney.,,
41552,Knockengorroch World Ceilidh,http://www.knockengorroch.org.uk/,Knockengorroch,,,website,24/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an annual music festival held near Kirkcudbright, Dumfries & Galloway.",,
41553,Folk at the Salmon Bothy,http://bothyfolk.org/,Folk at the Salmon Bothy,,,website,24/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a traditonal music venue in Portsoy, Aberdeenshire, Scotland.","Aberdeenshire, Portsoy",
41554,Loanhead Music Festival,http://www.loanheadfest.co.uk/,Loanhead Music Festival,,,website,24/05/2016,False,Music,FESTIVAL,,"Site of an annual Scottish traditional music festival taking place in Loanhead, Midlothian, Scotland.","Loanhead, Midlothian",
41671,St. Mungo Music,http://stmungomusic.org.uk/,St Mungo Music,,,website,25/05/2016,True,Music,MUSIC,,"Site of the Roman Catholic Archdiocese of Glasgow used to identify and encourage good liturgical music practice in the, supporting and encouraging collaboration among those involved in its preparation, and providing resources for cantors, psalmists, choirs, musicians, clergy, congregation, schools, composers, and liturgists.",,
41695,Falkland Traditional Music Festival,https://falklandtradfest.org.uk/,Falkland Traditional Music Festival,,,website,25/05/2016,True,Music,FESTIVAL,,"Site of an annual Scottish traditional music festival based in the village of Falkland, Fife.","Falkland",
41699,SEALL,http://www.seall.co.uk/,SEALL,,,website,25/05/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an arts events promoter based in Sleat, Isle of Skye, Scotland.","Sleat, Isle of Skye",
41905,Newton Stewart Traditional Music Festival,http://www.tradmusic.com/,Newton Stewart Traditional Music Festival Association,,,website,27/05/2016,True,Music,FESTIVAL,,Site of an annual Scottish traditional music festival taking place in Newton Stewart and Minnigaff in Dumfries & Galloway.,"Newton",
41982,Taynuilt Gaelic Choir,http://www.taynuiltgaelicchoir.co.uk/,Taynuilt Gaelic Choir,,,website,30/05/2016,True,Music,MUSIC : CHOIRS,,"Site of a Gaelic choir based in Taynuilt, Argyll & Bute.","Taynuilt",
42826,Edinburgh Jazz and Blues Festival,http://www.edinburghjazzfestival.com/,Edinburgh Jazz & Blues Festival,,,website,13/06/2016,False,Music,FESTIVAL,,"Site of an annual jazz and blues music festival located in Edinburgh, Scotland.","Edinburgh",
42830,Bdy_prts,http://www.bdyprts.com/,Bdy_Parts,,,website,13/06/2016,True,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,"Site of a Scottish music duo, based in Glasgow.","Glasgow",
42946,Glasgow Jazz Festival,http://www.jazzfest.co.uk/,Glasgow International Jazz Festival,,,website,14/06/2016,True,Music,FESTIVAL,,"Site of an annual jazz music festival based in Glasgow, Scotland.","Glasgow",
44220,Stonehaven Folk Festival,http://www.stonehavenfolkfestival.co.uk/,Stonehaven Folk Festival,,,website,11/07/2016,True,Music,FESTIVAL,,"Site of an annual Scottish traditional music festival taking place in Stonehaven, Aberdeenshire.","Stonehaven, Aberdeenshire",
44221,Linlithgow Scotch Hop,http://www.scotchhop.org.uk/,Linlithgow Scotch Hop,,,website,11/07/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of an annual series of Scottish country / Highland dancing events taking place in Linlithgow Palace, Linlithgow, West Lothian.","West Lothian, Linlithgow",
44248,Piping Live,http://www.pipinglive.co.uk/,Piping Live!,,,website,12/07/2016,True,Music,MUSIC : PIPING,,"Site of an annual festival of Scottish bag piping based in Glasgow, Scotland.","Glasgow",
44249,Irvine Folk Club,http://www.irvinefolkclub.org.uk/,Irvine Folk Club,,,website,12/07/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a Scotish traditional music club based in Irvine, Ayrshire Scotland.",Irvine,
44274,Aberdeen Folk Club,http://www.aberdeenfolkclub.co.uk/,Aberdeen Folk Club,,,website,12/07/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,,,
44275,Ceòl Cholasa Colonsay,http://ceolcholasa.co.uk/,Ceòl Cholasa,,,website,12/07/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,Site for a music festival,,
44340,Biggar Music Club,http://www.biggarmusic.org.uk/,Biggar Music Club,,,website,18/07/2016,True,Music,MUSIC,,"Site of a classical and contemporary music club, located in Biggar, and its associated Trust established to promote live music in Biggar and to support, where possible, young musical talent.",,
44344,Edinburgh Quartet,http://www.edinburghquartet.com/,Edinburgh Quartet Trust,,,website,18/07/2016,True,Music,MUSIC,,"Site of a classical music performing, touring and academic teaching ensemble based in Edinburgh, Scotland.","Edinburgh",
44375,Dunbar Music Festival,http://www.dunbarmusicfestival.co.uk/,Dunbar Traditional Music Festival,,,website,18/07/2016,True,Music,FESTIVAL,,"Site of a Scottish annual traditional music festival located in Dunbar, East Lothian.","East Lothian, Dunbar",
44376,Jura Music Festival,http://www.juramusicfestival.com/,Jura Music Festival,,,website,18/07/2016,True,Music,FESTIVAL,,"Site of a Scottish traditional music festival located on the island of Jura, Argyll & Bute, Scotland.",,
44377,Dunfermline Folk Club,http://www.dunfermlinefolkclub.co.uk/,Dunfermline Folk Club,,,website,18/07/2016,False,Music,MUSIC : TRADITIONAL / FOLK,,"Site of a traditional music club based in Dunfermline, Fife, Scotland.",,
44378,Crail Folk Club,http://www.st-andrews.ac.uk/~bm8/CFC/,Crail Folk Club,,,website,18/07/2016,True,Music,MUSIC : TRADITIONAL / FOLK,,,,
